indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
7032,7036,18-02-0312-46,18-02-0325-46,"COLEGIO CRISTIANO PRIVADO MIXTO DE EDUC. BASICA Y DIVERSIFICADA ""MONTE PENIEL""","COLEGIO CRISTIANO PRIVADO MIXTO DE EDUCACION BASICA Y DIVERSIFICADA ""MONTE PENIEL""",96.2,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1798,1861,00-01-2952-46,00-01-4610-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BROWN S,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO BROW'S,96.2,False,False,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
11155,11239,10-01-0090-46,10-01-0318-46,INSTITUTO TECNICO INDUSTRIAL 'GEORG KERSCHENSTEINER',"INSTITUTO TECNICO INDUSTRIAL ""GEORG KERSCHENSTEINER""",96.2,False,True,CERRADA DEFINITIVAMENTE,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
6096,6098,01-17-0017-46,01-17-0023-46,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO II,96.2,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
11671,11672,08-03-0056-46,08-03-0061-46,COLEGIO CIENCIA Y CULTURA,"COLEGIO ""CIENCIA Y CULTURA""",96.2,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
4541,4552,01-06-0049-46,01-06-0082-46,INSTITUTO OFICIAL DE EDUCACION BASICA Y DIVERSIFICADO ARQUITECTO GUSTAVO ARNOLDO MEDRANO OSORIO,INSTITUTO OFICIAL DE EDUCACION BASICA Y DIVERSIFICADO ARQUITECTO GUSTAVO ARNOLDO MEDRANO,96.2,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
6097,6098,01-17-0020-46,01-17-0023-46,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO II,96.2,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
11669,11671,08-03-0050-46,08-03-0056-46,"COLEGIO ""CIENCIA Y CULTURA""",COLEGIO CIENCIA Y CULTURA,96.2,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
6098,6187,01-17-0023-46,01-17-0325-46,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO II,CENTRO EDUCATIVO INTEGRAL GUATEMALTECO,96.2,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
6989,7013,18-01-2424-46,18-01-3170-46,LICEO MIXTO 20 DE OCTUBRE,LICEO MIXTO '20 DE OCTUBRE',96.2,True,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion, nombre casi identico): revisar"
1390,1858,00-01-0247-46,00-01-4555-46,INSTITUTO PARTICULAR MIXTO JOSE MARTI,'INSTITUTO PARTICULARA MIXTO JOSE MARTI',96.1,False,False,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
2696,2730,00-07-8492-46,00-07-9301-46,COLEGIO INTERAMERICANO DE INFORMATICA,COLEGIO INTERAMERICANO DE INFORMATICA II,96.1,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
8044,8059,17-05-0298-46,17-05-0332-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA- INED-,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED,96.1,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
2695,2730,00-07-8488-46,00-07-9301-46,COLEGIO INTERAMERICANO DE INFORMATICA,COLEGIO INTERAMERICANO DE INFORMATICA II,96.1,False,False,CERRADA DEFINITIVAMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
2697,2730,00-07-8493-46,00-07-9301-46,COLEGIO INTERAMERICANO DE INFORMATICA,COLEGIO INTERAMERICANO DE INFORMATICA II,96.1,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
10876,10885,06-08-1162-46,06-08-1828-46,COLEGIO TECNICO DE COMPUTACION 'C.T.S.',COLEGIO TECNICO DE COMPUTACION C.T.S,96.0,False,False,CERRADA DEFINITIVAMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
10885,10888,06-08-1828-46,06-08-2040-46,COLEGIO TECNICO DE COMPUTACION C.T.S,COLEGIO TECNICO DE COMPUTACION 'C.T.S.',96.0,True,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion, nombre casi identico): revisar"
10704,10717,12-29-0035-46,12-29-0054-46,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGELCO TECNOLOGICO PRIVADO MIXTO BERSHEBA BLESS GOD,96.0,True,True,ABIERTA,ABIERTA,"Probable duplicado (misma direccion y telefono): candidato a fusion, revisar"
